lat,lon,tags,geometry
52.4333644,13.190734,Spinnerbrücke,POINT (13.190734 52.4333644)
52.4200885,13.1763456,Loretta,POINT (13.1763456 52.4200885)
52.4916944,13.4389954,Jockel,POINT (13.4389954 52.4916944)
52.4337259,13.1642419,Haus Sanssouci,POINT (13.1642419 52.4337259)
52.5406075,13.2066054,Brauhaus Spandau,POINT (13.2066054 52.5406075)
52.5112754,13.335988,Schleusenkrug,POINT (13.335988 52.5112754)
52.4297781,13.3540651,No listed name,POINT (13.3540651 52.4297781)
52.8233706,12.0735408,Zur Alten Post,POINT (12.0735408 52.8233706)
52.5978619,13.2750843,Wirtshaus im Alten Fritz,POINT (13.2750843 52.5978619)
52.2412496,13.1514555,No listed name,POINT (13.1514555 52.2412496)
52.5697896,13.3942046,Rosengarten,POINT (13.3942046 52.5697896)
52.5422827,13.2816533,Kulturbiergarten Jungfernheide,POINT (13.2816533 52.5422827)
52.5715768,13.1228576,Seeterrasse,POINT (13.1228576 52.5715768)
52.3696025,12.9333609,Weintiene,POINT (12.9333609 52.3696025)
52.1091395,13.7625929,Marktwirtschaft,POINT (13.7625929 52.1091395)
52.3620033,13.0227683,Bootsvermietung Moisl & Strandbar „Skihütte“,POINT (13.0227683 52.3620033)
52.0751041,13.1688803,Biergarten Elsthal,POINT (13.1688803 52.0751041)
52.3912814,13.0149252,Krähenbusch,POINT (13.0149252 52.3912814)
52.4123211,13.6095915,Schmetterlingshorst,POINT (13.6095915 52.4123211)
52.4747532,13.5241898,Albers Biergarten,POINT (13.5241898 52.4747532)
52.5905957,13.2700085,No listed name,POINT (13.2700085 52.5905957)
52.1126582,13.6191463,Gabi's Biergarten,POINT (13.6191463 52.1126582)
52.2965483,13.6256778,No listed name,POINT (13.6256778 52.2965483)
52.0252508,13.1020968,Kloster-Eck,POINT (13.1020968 52.0252508)
52.4608859,13.5459148,Viva an der Kindlbühne,POINT (13.5459148 52.4608859)
52.4083018,13.0147492,Gartenlokal am Lindstedter Tor,POINT (13.0147492 52.4083018)
52.618156,13.335382,Freibad Lübars,POINT (13.335382 52.618156)
52.511952,13.239938,Stadionterrassen,POINT (13.239938 52.511952)
52.5156515,13.2439374,Pepe Mager,POINT (13.2439374 52.5156515)
52.467458,13.2617552,Im Jagdschloss,POINT (13.2617552 52.467458)
52.655422,13.5380797,No listed name,POINT (13.5380797 52.655422)
52.7467729,13.5134553,Insulaner Klause,POINT (13.5134553 52.7467729)
52.3863526,12.9515882,Zum Kleinen Leuchtturm,POINT (12.9515882 52.3863526)
